"","ID","fundBakers","fundUSDRate","fundUSDPledged","creator","city","state","isStaffpick","categoryParent","categoryChild","fundUSDGoal","fundLength","descriptionLength","hasVideo","amountFAQ","amountUpdates","amountComments","amountImages","amountGifs","amountVideos","amountRewards","lowestReward","url","name","blurb","fundState","fundGoal","fundPledged","country","fundCurrency","fundCurrencySymbol","fundEnd","fundStart"
"24",37455535,86,1,1720,"Bunk Baird","Buffalo","NY",FALSE,"games","playing cards",7500,30,281,TRUE,0,0,4,11,0,0,4,15,"https://www.kickstarter.com/projects/1283661615/apocalyptic-suits-playing-cards-for-the-end-of-the?ref=category","Apocalyptic Suits - Playing Cards for the End of the World","A full deck of playing cards based on the Four Horsemen of the Apocalypse.",FALSE,7500,1720,"US","USD","$",2015-07-04,2015-06-04
"25",42197811,440,1.1694949,12718.2570375,"KardecK","Rök","Varmland",FALSE,"games","playing cards",1403.39388,30,960,TRUE,0,5,13,22,0,0,9,1,"https://www.kickstarter.com/projects/kardeck/viking-glory-playing-cards-limited-premium-poker-d?ref=category","Viking Glory Playing Cards [ENDING SOON] Premium Poker Deck","Invoke the Deities of Viking Mythology and Mobilize their Forces to Win Legendary Games !
[LIMITED EDITION] Premium Playing Cards",TRUE,1200,10875,"FR","EUR","€",2018-07-05,2018-06-05
"26",43218651,314,1,10190,"LUX Playing Cards","Fort Worth","TX",FALSE,"games","playing cards",7000,30,1646,TRUE,0,5,36,21,0,0,6,9,"https://www.kickstarter.com/projects/luxplayingcards/montague-vs-capulet-the-romeo-and-juliet-playing-c?ref=category","Montague vs Capulet: the Romeo and Juliet playing cards","These violent delights have violent ends.",TRUE,7000,10190,"US","USD","$",2016-05-20,2016-04-20
"27",43226082,42,1,945,"bk","Cincinnati","OH",FALSE,"games","playing cards",2000,39,445,TRUE,0,3,6,5,0,1,7,5,"https://www.kickstarter.com/projects/1004702127/99blast-the-card-counting-game-that-is-a-blast?ref=category","99Blast - The Card Counting Game that is a Blast!","Get your copy of a 99 playing card deck with unique blast cards to enhance game play.  Make the game your own with flexible rules.",FALSE,2000,945,"US","USD","$",2015-12-01,2015-10-23
"30",46025692,169,1,5029,"Emmanuel Valtierra","San Antonio","TX",FALSE,"games","playing cards",4000,30,433,FALSE,0,4,20,10,0,0,6,10,"https://www.kickstarter.com/projects/521277495/aztec-and-egyptian-playing-cards?ref=category","Aztec and Egyptian PLAYING CARDS","A small reprint of my first 2 decks",TRUE,4000,5029,"US","USD","$",2018-05-05,2018-04-05
"33",49628302,45,1,1415,"Betsy Mays","Phoenix","AZ",FALSE,"games","playing cards",1400,32,449,TRUE,0,3,2,0,0,0,4,1,"https://www.kickstarter.com/projects/1800300336/absolute-zero-a-fun-math-card-game-with-integers?ref=category","Absolute Zero: A fun math card game with integers","A card game to promote math fact fluency with integers. Play 4 different games with one deck with positive and/or negative numbers.",TRUE,1400,1415,"US","USD","$",2017-09-17,2017-08-16
"35",51258427,193,1,5771,"JanduSoft","Barcelona","Catalonia",FALSE,"games","playing cards",2500,30,388,FALSE,0,5,6,11,1,0,10,5,"https://www.kickstarter.com/projects/jandusoft/video-games-playing-cards?ref=category","Video Games Playing Cards","A deck featuring 54 video games for pc/console. Exclusive on Kickstarter",TRUE,2500,5771,"US","USD","$",2018-02-23,2018-01-24
"37",52918105,418,1,16443,"Playing Cards Dot Net","Dallas","TX",FALSE,"games","playing cards",5000,30,312,FALSE,0,11,51,10,0,0,23,8,"https://www.kickstarter.com/projects/308247697/royal-pulp-playing-cards?ref=category","Royal Pulp Playing Cards","Two beautifully crafted custom playing cards decks. Featuring brightly colored illustrations & gorgeous typography.",TRUE,5000,16443,"US","USD","$",2015-06-20,2015-05-21
"38",53096799,37,1,5248,"Unicorn Publishing USA","Hollywood","CA",FALSE,"games","playing cards",5000,23,1766,FALSE,0,0,7,9,0,0,24,12,"https://www.kickstarter.com/projects/1800609722/trump-shuffle?ref=category","Trump Shuffle","Custom Hand-Drawn Playing Cards with Members of the Cabinet and Administration of the 45th President Of The United States of America.",TRUE,5000,5248,"US","USD","$",2017-01-27,2017-01-04
"39",55246789,242,1.2413324,7623.0222684,"Mankin Chan","Voorburg","South Holland",FALSE,"games","playing cards",6827.3282,30,1455,FALSE,0,12,15,33,0,0,19,1,"https://www.kickstarter.com/projects/mankinnovation/essentia-playing-cards-relaunch?ref=category","Essentia Playing Cards (relaunch)","A 100% custom and original deck of playing cards, designed with both playability and collectability in mind: Essentia Playing Cards!",TRUE,5500,6141,"NL","EUR","€",2018-03-01,2018-01-30
"40",57630463,183,1,5957,"Barclay Mountain","Leroy","PA",FALSE,"games","playing cards",8000,26,696,TRUE,0,6,15,12,1,1,14,13,"https://www.kickstarter.com/projects/589085899/bicycle-divide-of-a-nation-playing-cards?ref=category","Bicycle Divide of a Nation Playing Cards","There are secrets they don't want us to know and hidden messages only few are meant to see. Help us decode the Civil War.",FALSE,8000,5957,"US","USD","$",2017-02-04,2017-01-09
"42",59161918,102,1,3188,"ARTGANICS","Los Angeles","CA",FALSE,"games","playing cards",2000,11,297,FALSE,0,3,52,21,0,0,10,12,"https://www.kickstarter.com/projects/1116227712/crazy-deck-0?ref=category","""Crazy Deck""","""CRAZY"" DECK  is a custom deck of Playing Cards. Super FUN, Super HILARIOUS, Super CRAZY!!!",TRUE,2000,3188,"US","USD","$",2017-09-16,2017-09-05
"43",59196327,220,1,13426,"Jessica Feinberg","Tucson","AZ",FALSE,"games","playing cards",3000,23,814,TRUE,0,19,47,10,0,0,16,5,"https://www.kickstarter.com/projects/jessicafeinberg/spirit-dragons-playing-cards-and-book?ref=category","Spirit Dragons Playing Cards & Book","Playing cards, a fully illustrated book, and much more! Featuring Spirit Dragons & other rare spectral, undead, and ghostly creatures!",TRUE,3000,13426,"US","USD","$",2016-04-01,2016-03-09
"45",61651242,97,1,1885,"Jonathan Poppele","St. Paul","MN",FALSE,"games","playing cards",15000,23,1255,TRUE,0,8,24,7,0,0,15,1,"https://www.kickstarter.com/projects/639083711/moon-cards?ref=category","Moon Cards","The phases of the moon, in all their intricate beauty, come alive in this deck of standard playing cards created by Jonathan Poppele.",FALSE,15000,1885,"US","USD","$",2014-08-25,2014-08-02
"47",62154139,400,1,9655,"The Futurist Co.","Elgin","IL",FALSE,"games","playing cards",7000,30,281,FALSE,0,18,52,7,0,0,8,10,"https://www.kickstarter.com/projects/thefuturistco/vhs-playing-cards?ref=category","VHS Playing Cards","The VHS tape is making a come back in playing card form!",TRUE,7000,9655,"US","USD","$",2016-07-22,2016-06-22
"48",63275478,251,1,12197,"Ben Kolozsi","Savannah","GA",FALSE,"games","playing cards",9000,30,807,TRUE,0,33,41,25,0,1,12,1,"https://www.kickstarter.com/projects/143993751/choice-playing-cards-0?ref=category","Choice Playing Cards","Choice Playing Cards are printed by Expert Playing Card Company with package fulfillment by Art Of Play.",TRUE,9000,12197,"US","USD","$",2014-10-26,2014-09-26
"49",63638762,38,1.14056038,1861.39454016,"G.P.T.","Italia","Piedmont",FALSE,"games","playing cards",6273.08209,38,1178,TRUE,0,1,3,7,1,0,12,1,"https://www.kickstarter.com/projects/1097473261/zeus-playing-cards?ref=category","Zeus Playing Cards","Great quality limited ed. deck perfect for everyday magic and cardistry, vivid colors and fresh deisgn guarantee you so much fun :)",FALSE,5500,1632,"IT","EUR","€",2017-08-07,2017-06-30
"50",65957164,191,1,4902,"George Williamson","Salt Lake City","UT",FALSE,"games","playing cards",4000,30,643,TRUE,0,16,8,17,0,0,9,10,"https://www.kickstarter.com/projects/465249371/opulent-playing-cards-poker-size-deck-custom-limit?ref=category","Opulent Playing Cards Poker Size Deck Custom Limited USPCC","Custom designed luxury playing cards. A special limited edition deck for the discerning player, collector, magician or cardist.",TRUE,4000,4902,"US","USD","$",2017-10-01,2017-09-01
"51",67098753,81,1.23575025,3196.88589675,"Tefepa - Cards Dealer","Italia","Piedmont",FALSE,"games","playing cards",6796.626375,30,348,FALSE,0,0,8,12,1,0,11,2,"https://www.kickstarter.com/projects/272884163/circulus-playing-cards-by-tefepa-printed-by-uspcc?ref=category","CIRCULUS - Playing Cards by Tefepa printed by USPCC","A deck cards with stunning flat design!",FALSE,5500,2587,"IT","EUR","€",2018-04-25,2018-03-26
"53",71074698,36,1,1047,"Parker Butler","Starkville","MS",FALSE,"games","playing cards",6095,30,359,FALSE,0,1,2,3,0,0,10,10,"https://www.kickstarter.com/projects/113455814/butler-brothers-playing-cards?ref=category","Butler Brothers Playing Cards","Butler Brothers Playing Cards aims to reinvent what playing cards can be. Printed by the USPCC, we can make that happen.",FALSE,6095,1047,"US","USD","$",2018-02-17,2018-01-18
"57",77184001,53,1,2796,"Will Roya","Henderson","NV",FALSE,"games","playing cards",1000,14,855,TRUE,0,8,0,6,0,1,10,15,"https://www.kickstarter.com/projects/playingcarddecks/pip-box-club-monthly-playing-card-deck-subscriptio?ref=category","Pip Box Club -Monthly Playing Card Deck Subscription Service","3 new decks delivered to your door monthly! Also includes sample cards & exclusive discounts! PCD 1 year anniversary deck in 1st box!",TRUE,1000,2796,"US","USD","$",2018-04-23,2018-04-09
"58",77375306,132,0.75776922,2781.4070773944,"Sunish Chabba","Sydney","NSW",FALSE,"games","playing cards",11366.5383,31,1887,FALSE,0,11,13,26,0,2,12,2,"https://www.kickstarter.com/projects/sunishchabba/divine-art-playing-cards-relaunch?ref=category","Divine Art Playing Cards - Inspired from Hindu Mythology","100% custom illustrated deck of playing cards inspired by Hindu Mythology, printed by EPCC. FREE WORLDWIDE SHIPPING",FALSE,15000,3670.52,"AU","AUD","$",2016-11-13,2016-10-13
"60",82049430,645,1,23880,"Hunkydory Cards","Potomac","MD",FALSE,"games","playing cards",5000,49,680,TRUE,0,27,144,10,3,0,11,1,"https://www.kickstarter.com/projects/hunkydorycards/tessellatus-playing-cards?ref=category","Tessellatus Playing Cards","Vivid and colorful playing cards—perfect for the modern day cardist",TRUE,5000,23880,"US","USD","$",2017-05-26,2017-04-07
"62",85498466,154,1,3153,"Cory Henderson","Midvale","UT",FALSE,"games","playing cards",750,30,250,TRUE,0,6,33,3,0,0,10,10,"https://www.kickstarter.com/projects/997263019/medieval-revival-legit-playing-cards?ref=category","Medieval Revival, Legit Playing Cards","Playing cards redesigned with a medieval revival feel!",TRUE,750,3153,"US","USD","$",2015-07-22,2015-06-22
"63",87963683,43,1.17978927,1672.94118486,"Michele Spatola","Milan","Lombardy",FALSE,"games","playing cards",4200.0498012,34,246,FALSE,0,7,5,7,0,0,8,14,"https://www.kickstarter.com/projects/1184340203/opera-playing-cards-relaunch?ref=category","OPERA Playing cards. The Relaunch.","New court, new symbols, new back, new tuck box. New Opera Playing Cards.",FALSE,3560,1418,"IT","EUR","€",2018-01-11,2017-12-08
"66",92166687,99,1.33868809,5718.87552048,"Jordan Murphy","Birmingham","England",FALSE,"games","playing cards",8701.472585,30,1882,TRUE,0,4,9,10,0,0,13,3,"https://www.kickstarter.com/projects/jmauthentics/cutters-playing-cards-deep-blue-edition?ref=category","Cutters Playing Cards","A love-letter to the golden age of playing cards. A Casino deck designed for intricate card work.  Presented by JMAuthentics.com",FALSE,6500,4272,"GB","GBP","£",2018-01-10,2017-12-11
"68",97303732,123,1,4487,"Thomas Edward Mann","Seattle","WA",FALSE,"games","playing cards",3300,30,814,TRUE,0,5,20,10,0,0,11,5,"https://www.kickstarter.com/projects/mannmadeillustration/cursed-cards-playing-cards?ref=category","Cursed Cards - Playing Cards","Playing cards with original Gothic art, where each suit is a type of monster with suits Hearts, Diamonds, Skulls, and Cross-bones.",TRUE,3300,4487,"US","USD","$",2017-03-16,2017-02-14
"69",97309341,574,1,27037,"Make Playing Cards - MPC","San Francisco","CA",FALSE,"games","playing cards",5000,51,982,TRUE,0,8,97,13,4,1,14,15,"https://www.kickstarter.com/projects/makeplayingcards/impressions-foil-playing-cards-gold-and-silver-emb?ref=category","High Gloss Metallic Gold, Silver & Bronze Back Playing Cards","High gloss embossed metallic back playing cards using ground breaking print technology. Great for Poker, Cardistry & Magic.",TRUE,5000,27037,"US","USD","$",2017-06-30,2017-05-10
"70",97719485,9,1,358,"Culture Cards Co.","New York","NY",FALSE,"games","playing cards",1,30,589,FALSE,1,14,1,12,0,0,8,14,"https://www.kickstarter.com/projects/culturecardsco/americana-deck?ref=category","Americana Deck","A playable history lesson that predicts the future. Limited playing card deck with signature design.",TRUE,1,358,"US","USD","$",2014-09-12,2014-08-13
"77",107424460,79,1,1168.5,"Bobby Alexander","Houston","TX",FALSE,"games","playing cards",500,30,300,FALSE,0,17,30,5,0,0,10,1,"https://www.kickstarter.com/projects/1468389582/golden-age-horror-comic-book-cover-playing-cards?ref=category","Golden Age Horror Comic Book Cover Playing Cards","We are bringing classic golden age horror comic book graphics to high quality playing cards.",TRUE,500,1168.5,"US","USD","$",2014-12-22,2014-11-22
"80",110459567,26,1,367,"Kevin Parsons","San Luis Obispo","CA",FALSE,"games","playing cards",10500,30,954,FALSE,0,0,0,7,0,0,6,2,"https://www.kickstarter.com/projects/323488893/the-pirate-cowboy-viking-ninja-deck-of-cards?ref=category","The Pirate Cowboy Viking Ninja Deck of Cards","Swashbuckling pirates, renegade cowboys, viking barbarians and ninja assassins all clash in this artistic deck of playing cards!",FALSE,10500,367,"US","USD","$",2015-04-03,2015-03-04
"81",111885560,357,1,11351,"Lunar Saloon","Minneapolis","MN",FALSE,"games","playing cards",5000,30,804,TRUE,0,12,6,19,1,0,13,5,"https://www.kickstarter.com/projects/lunarsaloon/stardeck-space-grade-playing-cards?ref=category","STARDECK: Space-Grade Playing Cards","The battle for Proxima B rages in this custom designed card deck from Lunar Saloon.",TRUE,5000,11351,"US","USD","$",2016-11-10,2016-10-11
"84",115583408,32,1,3247,"Daniel Kuetemeyer","Philadelphia","PA",FALSE,"games","playing cards",7000,30,1008,TRUE,0,2,3,9,0,0,8,1,"https://www.kickstarter.com/projects/1638502467/rumps-disaster-relief-cards?ref=category","#Rump’s Disaster Relief Cards","Track 52 collaborators in DJT’s administration, play card games, and take creative control of this political situation with your hands",FALSE,7000,3247,"US","USD","$",2018-02-19,2018-01-20
"85",120149000,121,1.25105558,2985.01861388,"Ian Cumpstey","Cumbria","England",FALSE,"games","playing cards",1751.477812,30,1256,FALSE,0,11,27,1,0,0,5,10,"https://www.kickstarter.com/projects/737088756/viceroys-playing-cards?ref=category","Viceroys Playing Cards","A deck of playing cards inspired by the ornately patterned medieval Mamluk cards, but based around the standard playing card suits.",TRUE,1400,2386,"GB","GBP","£",2017-03-03,2017-02-01
